VG	ID
45	3.20E-05
46	3.16E-05
47	3.13E-05
48	3.10E-05
49	3.06E-05
50	3.03E-05
51	2.99E-05
52	2.96E-05
53	2.93E-05
54	2.89E-05
55	2.86E-05
56	2.82E-05
57	2.79E-05
58	2.75E-05
59	2.71E-05
60	2.67E-05
61	2.63E-05
62	2.59E-05
63	2.55E-05
64	2.51E-05
65	2.47E-05
66	2.42E-05
67	2.38E-05
68	2.33E-05
69	2.28E-05
70	2.23E-05
71	2.18E-05
72	2.13E-05
73	2.07E-05
74	2.02E-05
75	1.96E-05
76	1.91E-05
77	1.85E-05
78	1.80E-05
79	1.74E-05
80	1.70E-05
81	1.65E-05
82	1.61E-05
83	1.57E-05
84	1.54E-05
85	1.53E-05
86	1.52E-05
87	1.52E-05
88	1.53E-05
89	1.55E-05
90	1.57E-05
-20	6.37E-05
-19	6.31E-05
-18	6.25E-05
-17	6.19E-05
-16	6.14E-05
-15	6.08E-05
-14	6.02E-05
-13	5.96E-05
-12	5.90E-05
-11	5.84E-05
-10	5.78E-05
-9	5.72E-05
-8	5.66E-05
-7	5.60E-05
-6	5.54E-05
-5	5.49E-05
-4	5.43E-05
-3	5.37E-05
-2	5.31E-05
-1	5.25E-05
0	5.20E-05
1	5.15E-05
2	5.09E-05
3	5.04E-05
4	4.99E-05
5	4.93E-05
6	4.88E-05
7	4.84E-05
8	4.78E-05
9	4.73E-05
10	4.68E-05
11	4.63E-05
12	4.58E-05
13	4.54E-05
14	4.49E-05
15	4.44E-05
16	4.39E-05
17	4.34E-05
18	4.29E-05
19	4.25E-05
20	4.20E-05
21	4.15E-05
22	4.10E-05
23	4.06E-05
24	4.02E-05
25	3.97E-05
26	3.93E-05
27	3.88E-05
28	3.85E-05
29	3.81E-05
30	3.77E-05
31	3.72E-05
32	3.68E-05
33	3.64E-05
34	3.60E-05
35	3.56E-05
36	3.53E-05
37	3.49E-05
38	3.45E-05
39	3.42E-05
40	3.38E-05
41	3.35E-05
42	3.32E-05
43	3.28E-05
44	3.24E-05
45	3.21E-05
46	3.17E-05
47	3.14E-05
48	3.11E-05
49	3.07E-05
50	3.04E-05
51	3.01E-05
52	2.97E-05
53	2.93E-05
54	2.90E-05
55	2.86E-05
56	2.83E-05
57	2.79E-05
58	2.76E-05
59	2.72E-05
60	2.68E-05
61	2.64E-05
62	2.60E-05
63	2.56E-05
64	2.52E-05
65	2.47E-05
66	2.43E-05
67	2.38E-05
68	2.34E-05
69	2.29E-05
70	2.24E-05
71	2.19E-05
72	2.13E-05
73	2.07E-05
74	2.02E-05
75	1.96E-05
76	1.91E-05
77	1.85E-05
78	1.80E-05
79	1.74E-05
80	1.69E-05
81	1.65E-05
82	1.61E-05
83	1.57E-05
84	1.54E-05
85	1.53E-05
86	1.52E-05
87	1.52E-05
88	1.53E-05
89	1.54E-05
90	1.57E-05
91	1.60E-05
92	1.64E-05
93	1.67E-05
94	1.71E-05
95	1.75E-05
